strategy,method_name,chi,month,days,total_eur,required_activation_mwh,undelivered_activation_mwh,undelivered_activation_share
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-02,28,87706.765926,312.398964689,26.2790526767,0.0841201657082
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-03,31,108334.563618,386.603933779,60.2597295137,0.155869416342
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-04,30,90743.8314821,335.567658881,52.3399591403,0.155974384763
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-05,29,89015.5793404,274.637694398,15.0564973826,0.0548231276685
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-06,30,105449.763292,214.47908712,11.7911220452,0.0549756258454
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-07,31,59233.8821972,148.83317011,5.45584193042,0.0366574327913
B3_fb2_plus_weather_s3a,Weather-augmented gate-conditioned joint-scenario dispatch,0.5,2026-08,26,53471.2963856,151.815543777,10.0261040107,0.0660413536138
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-01,4,17397.0161655,26.0758914531,0.171813487279,0.00658897846648
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-02,28,103210.368339,358.732789604,33.3186003363,0.0928786029652
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-03,31,118479.575707,428.563996519,68.6067020378,0.160085080863
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-04,30,97742.2766362,386.486614595,63.272877466,0.163712985331
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-05,31,104127.77508,338.12366964,19.5447404867,0.0578035264656
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-06,30,104787.08683,225.042099982,13.6802806293,0.0607898727853
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-07,31,59477.2772187,176.83941153,13.4950808502,0.0763126315196
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0,2026-08,26,52641.7681376,147.864898648,9.70879115411,0.065659877651
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-01,4,17374.0792562,25.8014045159,0.16153656794,0.00626076645713
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-02,28,100517.777762,354.30253623,33.6179678599,0.0948849201522
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-03,31,117532.192692,424.7525439,66.968795352,0.157665436767
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-04,30,95357.7982576,375.301328942,62.1514159477,0.165604039087
B3_fb2_s3a,Gate-conditioned joint-scenario stochastic dispatch,0.5,2026-05,31,103871.996714,330.316980626,18.251587651,0.055254766547
