scope,path,delivery_day,period,activation_state,information_set,activation_representation,delivery_days,evaluated_days,scenarios,valid_n,missing_n,availability_ok
premium_pool,,2026-02-15,3,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-15,4,0,gate_0730,,81,,,144,0,True
premium_pool,,2026-02-15,4,1,gate_0730,,81,,,1152,0,True
premium_pool,,2026-02-15,5,0,gate_0730,,81,,,236,0,True
premium_pool,,2026-02-15,5,1,gate_0730,,81,,,1060,0,True
premium_pool,,2026-02-16,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-16,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-16,1,0,gate_0730,,81,,,80,0,True
premium_pool,,2026-02-16,1,1,gate_0730,,81,,,1216,0,True
premium_pool,,2026-02-16,2,0,gate_0730,,81,,,64,0,True
premium_pool,,2026-02-16,2,1,gate_0730,,81,,,1232,0,True
premium_pool,,2026-02-16,3,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-16,3,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-16,4,0,gate_0730,,81,,,144,0,True
premium_pool,,2026-02-16,4,1,gate_0730,,81,,,1152,0,True
premium_pool,,2026-02-16,5,0,gate_0730,,81,,,248,0,True
premium_pool,,2026-02-16,5,1,gate_0730,,81,,,1048,0,True
premium_pool,,2026-02-17,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-17,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-17,1,0,gate_0730,,81,,,80,0,True
premium_pool,,2026-02-17,1,1,gate_0730,,81,,,1216,0,True
premium_pool,,2026-02-17,2,0,gate_0730,,81,,,64,0,True
premium_pool,,2026-02-17,2,1,gate_0730,,81,,,1232,0,True
premium_pool,,2026-02-17,3,0,gate_0730,,81,,,64,0,True
premium_pool,,2026-02-17,3,1,gate_0730,,81,,,1232,0,True
premium_pool,,2026-02-17,4,0,gate_0730,,81,,,144,0,True
premium_pool,,2026-02-17,4,1,gate_0730,,81,,,1152,0,True
premium_pool,,2026-02-17,5,0,gate_0730,,81,,,248,0,True
premium_pool,,2026-02-17,5,1,gate_0730,,81,,,1048,0,True
premium_pool,,2026-02-18,0,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-18,0,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-18,1,0,gate_0730,,81,,,84,0,True
premium_pool,,2026-02-18,1,1,gate_0730,,81,,,1212,0,True
premium_pool,,2026-02-18,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-18,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-18,3,0,gate_0730,,81,,,64,0,True
premium_pool,,2026-02-18,3,1,gate_0730,,81,,,1232,0,True
premium_pool,,2026-02-18,4,0,gate_0730,,81,,,140,0,True
premium_pool,,2026-02-18,4,1,gate_0730,,81,,,1156,0,True
premium_pool,,2026-02-18,5,0,gate_0730,,81,,,256,0,True
premium_pool,,2026-02-18,5,1,gate_0730,,81,,,1040,0,True
premium_pool,,2026-02-19,0,0,gate_0730,,81,,,92,0,True
premium_pool,,2026-02-19,0,1,gate_0730,,81,,,1204,0,True
premium_pool,,2026-02-19,1,0,gate_0730,,81,,,88,0,True
premium_pool,,2026-02-19,1,1,gate_0730,,81,,,1208,0,True
premium_pool,,2026-02-19,2,0,gate_0730,,81,,,68,0,True
premium_pool,,2026-02-19,2,1,gate_0730,,81,,,1228,0,True
premium_pool,,2026-02-19,3,0,gate_0730,,81,,,72,0,True
premium_pool,,2026-02-19,3,1,gate_0730,,81,,,1224,0,True
premium_pool,,2026-02-19,4,0,gate_0730,,81,,,140,0,True
