arm,method_name,evaluation_set,n_days,target,mae,rmse,rmae,n_valid
empirical_copula,Empirical-copula scenarios,common_209,209,activation_volume,10.0952495183504,19.388236988590723,0.7458681458608403,5016
empirical_copula,Empirical-copula scenarios,common_209,209,activation_price,76.11270907749108,202.61060831693683,0.6643922646429181,4417
fb2_gate,Gate-conditioned Gaussian-copula scenarios,main_211,211,day_ahead_price,27.57571895261429,40.2573692001651,0.7431888224130997,5064
fb2_gate,Gate-conditioned Gaussian-copula scenarios,main_211,211,capacity_price,9.529778245929435,24.013548900050576,0.82058368040762,5064
fb2_gate,Gate-conditioned Gaussian-copula scenarios,main_211,211,activation_volume,10.060673057330378,19.325443827722896,0.7401919396273101,5064
fb2_gate,Gate-conditioned Gaussian-copula scenarios,main_211,211,activation_price,76.93791495090652,202.65058100984092,0.671934343552095,4464
fb2_gate,Gate-conditioned Gaussian-copula scenarios,common_209,209,day_ahead_price,27.623908761288043,40.36221529111539,0.7482637289906388,5016
fb2_gate,Gate-conditioned Gaussian-copula scenarios,common_209,209,capacity_price,9.499549326612147,24.05293317597296,0.8200627764033094,5016
fb2_gate,Gate-conditioned Gaussian-copula scenarios,common_209,209,activation_volume,10.093327709336435,19.39952741705559,0.7457261566882758,5016
fb2_gate,Gate-conditioned Gaussian-copula scenarios,common_209,209,activation_price,77.14163895888204,203.51080084820003,0.6733738534254184,4417
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,main_211,211,day_ahead_price,27.74959552746728,40.532141298905564,0.7478749423700181,5064
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,main_211,211,capacity_price,9.562975689466638,24.07113158685484,0.8234422233553026,5064
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,main_211,211,activation_volume,10.074272669208716,19.34848768149487,0.7411925012236411,5064
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,main_211,211,activation_price,76.92681893151729,202.6823881624856,0.6718374368902872,4464
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,common_209,209,day_ahead_price,27.80848249840254,40.637226522019176,0.7532633774473617,5016
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,common_209,209,capacity_price,9.541791030546992,24.11697806166498,0.8237093545532616,5016
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,common_209,209,activation_volume,10.103804649496592,19.42135004102833,0.7465002253150438,5016
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,common_209,209,activation_price,77.09874508001178,203.5402620365632,0.6729994302618321,4417
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,main_211,211,day_ahead_price,27.69420054742173,40.45650169234422,0.7463820010596429,5064
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,main_211,211,capacity_price,9.64721850729743,24.19477532639388,0.8306961467645936,5064
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,main_211,211,activation_volume,10.06114860729661,19.345143176936897,0.7402269271723669,5064
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,main_211,211,activation_price,76.81708174480015,202.53517063469536,0.6708790513586922,4464
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,common_209,209,day_ahead_price,27.74000234990775,40.55612860294687,0.7514084186970508,5016
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,common_209,209,capacity_price,9.618517240644554,24.237883587625955,0.8303328591756591,5016
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,common_209,209,activation_volume,10.094967524078308,19.42048838894349,0.7458473112549707,5016
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,common_209,209,activation_price,76.99667065647984,203.3867566605958,0.6721084166816497,4417
x09_block_copula,Sequential block-copula scenarios,main_211,211,day_ahead_price,27.73748644107076,40.50163282998791,0.7475485923054922,5064
x09_block_copula,Sequential block-copula scenarios,main_211,211,capacity_price,9.48344290896254,24.0193923330366,0.8165938686449524,5064
x09_block_copula,Sequential block-copula scenarios,main_211,211,activation_volume,10.069253108533625,19.35613497948173,0.7408231980636036,5064
x09_block_copula,Sequential block-copula scenarios,main_211,211,activation_price,75.84142950316637,201.3907777885533,0.6623582297464138,4464
x09_block_copula,Sequential block-copula scenarios,common_209,209,day_ahead_price,27.772452841983487,40.59602014585128,0.7522874226938421,5016
x09_block_copula,Sequential block-copula scenarios,common_209,209,capacity_price,9.469641497825007,24.07779260142092,0.8174809384373054,5016
x09_block_copula,Sequential block-copula scenarios,common_209,209,activation_volume,10.0957771540303,19.428059229818,0.745907129210934,5016
x09_block_copula,Sequential block-copula scenarios,common_209,209,activation_price,75.99719714207764,202.2220448383341,0.6633839542399276,4417
fb2_plus_weather,Weather-augmented Gaussian-copula scenarios,common_209,209,day_ahead_price,27.881380945796582,39.54900110764717,0.7552380170451126,5016
fb2_plus_weather,Weather-augmented Gaussian-copula scenarios,common_209,209,capacity_price,10.170571832271008,24.256950882627407,0.8779897958965551,5016
fb2_plus_weather,Weather-augmented Gaussian-copula scenarios,common_209,209,activation_volume,10.631724003939894,20.37538663209641,0.7855045341582212,5016
fb2_plus_weather,Weather-augmented Gaussian-copula scenarios,common_209,209,activation_price,76.0954267419093,203.31290605179385,0.6642414061303954,4417
