arm,method_name,seed,target,evaluation_set,n_days,fit_window_empirical_resolution,extrapolated_quantile_levels,extrapolation_note,activation_positive_q99_note,quantile_level,exceedance_frequency,pressure_exceedance_frequency,n_valid,n_pressure
hist_independent,Historical independent scenarios,1,activation_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0320526427510082,,4711,0
empirical_copula,Empirical-copula scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1301342812006319,,5064,0
empirical_copula,Empirical-copula scenarios,1,day_ahead_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1222353870458135,,5064,0
empirical_copula,Empirical-copula scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0645734597156398,0.4117647058823529,5064,357
empirical_copula,Empirical-copula scenarios,1,capacity_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.0471958925750394,0.3249299719887955,5064,357
empirical_copula,Empirical-copula scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.95,0.0588467614533965,0.5056497175141242,5064,354
empirical_copula,Empirical-copula scenarios,1,activation_volume,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,q99_often_equals_q97_5_endpoint_extension_not_estimate,0.99,0.0454186413902053,0.4265536723163842,5064,354
empirical_copula,Empirical-copula scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0828079024800336,,4758,0
empirical_copula,Empirical-copula scenarios,1,activation_price,main_211,211,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.030264817150063,,4758,0
empirical_copula,Empirical-copula scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.1307814992025518,,5016,0
empirical_copula,Empirical-copula scenarios,1,day_ahead_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.99,0.1232057416267942,,5016,0
empirical_copula,Empirical-copula scenarios,1,capacity_price,common_209,209,0.0119047619047619,0.005;0.01,outside_per_unit_estimable_interval_uses_endpoint_extension,not_applicable,0.95,0.0629984051036682,0.4188034188034188,5016,351
