arm,method_name,seed,evaluation_set,n_days,metric,target_x,target_y,lag_hours_y_after_x,observed_value,scenario_value,difference,n_observed_pairs,n_scenario_pairs
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,main_211,211,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.356457345971564,0.0980747029735363,507,50640
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,0,0.4023380601509619,0.3802825825508945,-0.0220554776000674,5016,501600
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,1,0.3703260756256845,0.3729544415280685,0.002628365902384,4807,480700
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,0,-0.1471066599905378,-0.08077519603094,0.0663314639595978,5016,501600
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,1,-0.1908691464223756,-0.1171870955873768,0.0736820508349987,4807,480700
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,0,-0.0530813866637433,-0.0435438679029371,0.0095375187608061,5016,501600
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,capacity_price,activation_volume,1,-0.0494519364703486,-0.0554749693932571,-0.0060230329229084,4807,480700
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,day_ahead_price,day_ahead_price,1,0.9365257124281304,0.7626886585841866,-0.173837053843944,4807,480700
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,capacity_price,capacity_price,1,0.7815373266386816,0.5900577746473968,-0.1914795519912847,4807,480700
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,spearman_rho,activation_volume,activation_volume,1,0.4687747181727007,0.1485082166976493,-0.3202665014750514,4807,480700
fb2_gate,Gate-conditioned Gaussian-copula scenarios,1,common_209,209,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2589641434262948,0.3554425837320574,0.0964784403057625,502,50160
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,0,0.404124287098665,0.2336890975166876,-0.1704351895819774,5064,506400
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,1,0.3719155400030419,0.2207481856516538,-0.151167354351388,4853,485300
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,0,-0.1444731753375065,-0.0989750009273776,0.0454981744101288,5064,506400
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,1,-0.1881855028991759,-0.1345529082221984,0.0536325946769774,4853,485300
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,capacity_price,activation_volume,0,-0.0498793351406148,-0.0522721340604986,-0.0023927989198837,5064,506400
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,capacity_price,activation_volume,1,-0.0457165786710576,-0.0667331462833508,-0.0210165676122932,4853,485300
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384152,0.760568056575684,-0.175816353362731,4853,485300
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.5916675847968128,-0.1916105199603254,4853,485300
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,spearman_rho,activation_volume,activation_volume,1,0.46886524499604,0.1510042022088241,-0.3178610427872159,4853,485300
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,main_211,211,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.2631714060031596,0.0047887630051319,507,50640
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,0,0.4023380601509619,0.2338489480600137,-0.1684891120909482,5016,501600
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,1,0.3703260756256845,0.2211297692814759,-0.1491963063442085,4807,480700
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,0,-0.1471066599905378,-0.0992981986473939,0.0478084613431438,5016,501600
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,1,-0.1908691464223756,-0.1348457418150502,0.0560234046073253,4807,480700
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,capacity_price,activation_volume,0,-0.0530813866637433,-0.0529293052365967,0.0001520814271465,5016,501600
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,capacity_price,activation_volume,1,-0.0494519364703486,-0.0671762634587818,-0.0177243269884331,4807,480700
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,day_ahead_price,day_ahead_price,1,0.9365257124281304,0.7611511286605275,-0.175374583767603,4807,480700
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,capacity_price,capacity_price,1,0.7815373266386816,0.5903046748740899,-0.1912326517645917,4807,480700
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,spearman_rho,activation_volume,activation_volume,1,0.4687747181727007,0.1506865047342146,-0.3180882134384861,4807,480700
fb2_no_cross_target,Gaussian-copula scenarios without cross-target dependence,1,common_209,209,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2589641434262948,0.262219563266527,0.0032554198402322,502,50145
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,0,0.404124287098665,0.3104251067530021,-0.0936991803456628,5064,506400
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,day_ahead_price,capacity_price,1,0.3719155400030419,0.2995386245325582,-0.0723769154704837,4853,485300
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,0,-0.1444731753375065,-0.0847369522313734,0.059736223106133,5064,506400
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,day_ahead_price,activation_volume,1,-0.1881855028991759,-0.121300806004508,0.0668846968946678,4853,485300
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,capacity_price,activation_volume,0,-0.0498793351406148,-0.0447648255669302,0.0051145095736846,5064,506400
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,capacity_price,activation_volume,1,-0.0457165786710576,-0.059966916020601,-0.0142503373495434,4853,485300
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,day_ahead_price,day_ahead_price,1,0.9363844099384152,0.5576148835508226,-0.3787695263875925,4853,485300
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,capacity_price,capacity_price,1,0.7832781047571382,0.4673323776990936,-0.3159457270580446,4853,485300
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,spearman_rho,activation_volume,activation_volume,1,0.46886524499604,0.1228212820990754,-0.3460439628969646,4853,485300
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,main_211,211,upper_tail_conditional_probability,day_ahead_price,capacity_price,0,0.2583826429980276,0.3065165876777251,0.0481339446796975,507,50640
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,0,0.4023380601509619,0.3107121481331951,-0.0916259120177668,5016,501600
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,common_209,209,spearman_rho,day_ahead_price,capacity_price,1,0.3703260756256845,0.3001011791356109,-0.0702248964900735,4807,480700
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,0,-0.1471066599905378,-0.0854796326671057,0.061627027323432,5016,501600
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,common_209,209,spearman_rho,day_ahead_price,activation_volume,1,-0.1908691464223756,-0.121817946881236,0.0690511995411395,4807,480700
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,common_209,209,spearman_rho,capacity_price,activation_volume,0,-0.0530813866637433,-0.0450148153983838,0.0080665712653594,5016,501600
fb2_no_temporal,Gaussian-copula scenarios without temporal dependence,1,common_209,209,spearman_rho,capacity_price,activation_volume,1,-0.0494519364703486,-0.0600418862933605,-0.0105899498230118,4807,480700
