arm,method_name,target,evaluation_set,n_days,month,interval_level,coverage,coverage_deviation,average_width,n_valid
hist_paired,Historical paired scenarios,activation_price,main_211,211,2026-08,0.9,0.8512396694214877,-0.0487603305785123,351.17526874403546,605
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-02,0.9,0.918154761904762,0.0181547619047618,112.53722152124556,672
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-03,0.9,0.5309139784946236,-0.3690860215053764,102.25545019186951,744
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-04,0.9,0.5611111111111111,-0.3388888888888889,94.19050367791336,720
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-05,0.9,0.7758620689655172,-0.1241379310344827,121.1009619881206,696
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-06,0.9,0.7722222222222223,-0.1277777777777777,124.6237613025391,720
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-07,0.9,0.7244623655913979,-0.1755376344086021,119.61784839303036,744
hist_paired,Historical paired scenarios,day_ahead_price,common_209,209,2026-08,0.9,0.6089743589743589,-0.2910256410256411,120.09426359982616,624
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-02,0.9,0.5252976190476191,-0.3747023809523809,59.25131216371386,672
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-03,0.9,0.6922043010752689,-0.2077956989247311,56.17969244193204,744
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-04,0.9,0.6486111111111111,-0.2513888888888889,47.749086145052885,720
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-05,0.9,0.8089080459770115,-0.0910919540229885,46.8003484817409,696
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-06,0.9,0.8430555555555556,-0.0569444444444444,50.41368359089311,720
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-07,0.9,0.8145161290322581,-0.0854838709677419,44.74583140796611,744
hist_paired,Historical paired scenarios,capacity_price,common_209,209,2026-08,0.9,0.8942307692307693,-0.0057692307692307,45.58646693984523,624
hist_paired,Historical paired scenarios,activation_volume,common_209,209,2026-02,0.9,0.8720238095238095,-0.0279761904761904,47.28705294697512,672
