,datetime,Up,Down,sp,cloud_amount,wind_speed,precipitation_amount,pressure,air_temperature,relative_humidity,wind_direction,date,Down_Cap,Up_Cap,is_public_holiday,electricity_consumption,electricity_consumption_Finnish_networks,electricity_consumption_forecast
993,2024-08-01 07:00:00+00:00,66.41344451904297,-17.70108985900879,32.19,7.544444444444445,3.666444444444444,0.5,1002.0493333333332,16.08488888888889,86.56444444444445,272.32,2024-08-01,12.47,16.22,0,34082.93,4779719.527,33761.7
994,2024-08-01 08:00:00+00:00,70.1023178100586,-27.132869720458984,29.65,7.322222222222222,3.81,0.4733333333333333,1002.17,16.779999999999998,82.38888888888889,274.7111111111111,2024-08-01,15.12,14.35,0,34149.73,4837601.462,34159.3
995,2024-08-01 09:00:00+00:00,70.1023178100586,-16.35451889038086,32.09,7.4,3.876111111111111,0.3733333333333333,1002.1905555555556,17.34044444444444,78.65555555555555,279.0444444444445,2024-08-01,20.54,14.35,0,34334.87,4860324.472,34402.6
996,2024-08-01 10:00:00+00:00,70.1023178100586,-11.282145500183104,49.01,7.2444444444444445,4.154444444444445,0.0733333333333333,1002.2944444444444,17.54222222222222,77.25555555555555,261.34444444444443,2024-08-01,21.68,11.4,0,33573.23,4791231.711,34206.0
997,2024-08-01 11:00:00+00:00,241.86273193359372,26.168025970458984,58.43,6.911111111111111,3.985555555555556,0.0599999999999999,1002.44,18.08111111111111,74.68888888888888,254.1,2024-08-01,23.04,12.92,0,33138.16,4707047.601,33937.6
998,2024-08-01 12:00:00+00:00,179.85687255859375,9.32840061187744,61.77,6.666666666666667,4.127777777777777,0.08,1002.587777777778,18.46,73.03333333333333,263.27777777777777,2024-08-01,21.8,11.4,0,33182.99,4646136.341,33948.9
999,2024-08-01 13:00:00+00:00,51.18281173706055,-17.7413330078125,49.61,6.0,3.767777777777778,0.0,1002.6577777777778,18.78333333333333,72.36666666666666,266.96666666666664,2024-08-01,21.62,11.4,0,33226.53,4612460.258,33847.3
1000,2024-08-01 14:00:00+00:00,72.6953125,-21.578004837036133,46.62,6.433333333333334,3.897777777777778,0.0,1002.8188888888888,18.674444444444443,72.58888888888889,276.64444444444445,2024-08-01,17.06,12.47,0,33039.92,4594210.026,33720.2
1001,2024-08-01 15:00:00+00:00,140.20864868164062,4.769999980926514,29.77,6.488888888888889,3.864444444444445,0.0,1003.1155555555556,18.473333333333336,74.56666666666666,288.2,2024-08-01,13.76,13.76,0,32793.4,4575210.906,33393.7
1002,2024-08-01 16:00:00+00:00,148.34780883789062,-20.850006103515625,33.59,6.2,3.67,0.0533333333333333,1003.3044444444444,17.98111111111111,77.97777777777779,284.2111111111111,2024-08-01,11.0,14.04,0,32626.76,4629785.456,33120.2
1003,2024-08-01 17:00:00+00:00,68.05878448486328,-25.21326446533203,29.7,6.755555555555556,3.613333333333333,0.04,1003.6588888888888,17.37222222222222,82.24444444444445,276.05555555555554,2024-08-01,10.0,14.35,0,32496.2,4579474.886,32806.7
1004,2024-08-01 18:00:00+00:00,48.46583938598633,-25.21326446533203,24.86,6.777777777777778,3.4066666666666663,0.02,1003.9855555555556,16.551111111111112,87.46666666666667,268.7444444444444,2024-08-01,13.34,14.35,0,31642.75,4408024.081,31765.6
1005,2024-08-01 19:00:00+00:00,47.04985046386719,-17.750669479370117,26.86,6.977777777777778,2.9677777777777776,0.3466666666666666,1004.1977777777778,15.87,91.5222222222222,247.77777777777777,2024-08-01,19.68,16.22,0,32088.870000000003,4511054.947,31804.3
1006,2024-08-01 20:00:00+00:00,45.62005615234375,-32.6370735168457,23.42,6.977777777777778,3.025555555555556,0.1133333333333333,1004.3755555555556,15.587777777777776,92.71111111111112,253.0555555555556,2024-08-01,22.26,14.35,0,30526.81,4265187.797,31217.6
1007,2024-08-01 21:00:00+00:00,52.824615478515625,-31.28252220153809,4.98,6.944444444444445,2.9066666666666667,0.0,1004.4733333333334,15.321111111111112,93.55555555555556,276.74444444444447,2024-08-01,27.84,12.92,0,29121.48,3882500.487,30217.4
1008,2024-08-01 22:00:00+00:00,106.77899932861328,-29.080965042114254,4.22,7.211111111111111,2.9433333333333334,0.0,1004.5455555555556,15.166666666666666,93.9,272.1,2024-08-02,27.98,11.35,0,28321.0,3621774.06,28936.9
1009,2024-08-01 23:00:00+00:00,91.65035247802734,-22.59246253967285,3.36,6.677777777777778,2.9288888888888893,0.0,1004.6388888888888,15.00111111111111,94.37777777777778,251.0555555555556,2024-08-02,25.5,9.0,0,27794.39,3500058.139,28160.1
1010,2024-08-02 00:00:00+00:00,135.2097625732422,-15.124672889709473,2.71,7.155555555555555,2.645555555555555,0.0,1004.7155555555556,14.888888888888888,94.67777777777776,265.9555555555556,2024-08-02,24.06,9.0,0,27596.87,3436348.777,27852.2
1011,2024-08-02 01:00:00+00:00,52.37824249267578,-22.509017944335938,2.63,7.533333333333333,2.5744444444444445,0.0,1004.7377777777778,14.944444444444445,94.75555555555556,265.2333333333333,2024-08-02,24.12,9.0,0,27649.16,3400863.451,27725.3
1012,2024-08-02 02:00:00+00:00,183.33287048339844,-29.83970260620117,3.54,7.411111111111111,2.5966666666666667,0.0,1004.7677777777776,15.096666666666666,94.05555555555556,257.5777777777778,2024-08-02,24.12,9.0,0,28087.75,3451602.897,27764.8
