target,forecast_origin_utc,horizon_hour,timestamp_utc,actual,forecast
Down,2025-02-08T22:00:00+00:00,43,2025-02-10T17:00:00+00:00,21.975000381469727,-24.30064512067522
Down,2025-02-08T22:00:00+00:00,44,2025-02-10T18:00:00+00:00,24.845001220703125,-27.392446636039246
Down,2025-02-08T22:00:00+00:00,45,2025-02-10T19:00:00+00:00,54.46999740600586,-29.216954718278746
Down,2025-02-08T22:00:00+00:00,46,2025-02-10T20:00:00+00:00,-5.752500057220459,-27.422606698312375
Down,2025-02-08T22:00:00+00:00,47,2025-02-10T21:00:00+00:00,-0.934999942779541,-33.423192114364426
Down,2025-02-08T22:00:00+00:00,48,2025-02-10T22:00:00+00:00,-13.482500076293944,-25.929179584506986
Down,2025-02-10T22:00:00+00:00,1,2025-02-10T23:00:00+00:00,16.084999084472656,-10.698379163877279
Down,2025-02-10T22:00:00+00:00,2,2025-02-11T00:00:00+00:00,3.315000057220459,-7.949307061660865
Down,2025-02-10T22:00:00+00:00,3,2025-02-11T01:00:00+00:00,1.6449999809265137,-1.5564124344929005
Down,2025-02-10T22:00:00+00:00,4,2025-02-11T02:00:00+00:00,1.7475000619888306,-2.183625824150186
Down,2025-02-10T22:00:00+00:00,5,2025-02-11T03:00:00+00:00,3.690000057220459,-0.18397410623216126
Down,2025-02-10T22:00:00+00:00,6,2025-02-11T04:00:00+00:00,18.904998779296875,2.3130566063354516
Down,2025-02-10T22:00:00+00:00,7,2025-02-11T05:00:00+00:00,19.614999771118164,7.478846428695407
Down,2025-02-10T22:00:00+00:00,8,2025-02-11T06:00:00+00:00,15.505000114440918,3.7566816593319343
Down,2025-02-10T22:00:00+00:00,9,2025-02-11T07:00:00+00:00,-0.0866667404770851,6.913037320151885
Down,2025-02-10T22:00:00+00:00,10,2025-02-11T08:00:00+00:00,3.039999961853028,7.571608854741536
Down,2025-02-10T22:00:00+00:00,11,2025-02-11T09:00:00+00:00,-2.002500057220459,3.031305314486705
Down,2025-02-10T22:00:00+00:00,12,2025-02-11T10:00:00+00:00,17.297500610351562,0.8416409929362765
Down,2025-02-10T22:00:00+00:00,13,2025-02-11T11:00:00+00:00,1.9175000190734863,-5.513902174414368
Down,2025-02-10T22:00:00+00:00,14,2025-02-11T12:00:00+00:00,-1.9850001335144043,-8.68746583152105
Down,2025-02-10T22:00:00+00:00,15,2025-02-11T13:00:00+00:00,10.40999984741211,-7.270945728567089
Down,2025-02-10T22:00:00+00:00,16,2025-02-11T14:00:00+00:00,16.114999771118164,-2.0490715364873746
Down,2025-02-10T22:00:00+00:00,17,2025-02-11T15:00:00+00:00,-1.4299999475479126,-5.533833893833996
Down,2025-02-10T22:00:00+00:00,18,2025-02-11T16:00:00+00:00,9.960000038146973,-9.471038298192155
Down,2025-02-10T22:00:00+00:00,19,2025-02-11T17:00:00+00:00,-1.1299999952316284,-9.68901373155441
Down,2025-02-10T22:00:00+00:00,20,2025-02-11T18:00:00+00:00,3.8000001907348633,-5.703993023509067
Down,2025-02-10T22:00:00+00:00,21,2025-02-11T19:00:00+00:00,1.9499999284744265,-13.089014532139405
Down,2025-02-10T22:00:00+00:00,22,2025-02-11T20:00:00+00:00,1.06499981880188,-17.035568255709293
Down,2025-02-10T22:00:00+00:00,23,2025-02-11T21:00:00+00:00,-0.4125000238418579,-20.054085321273206
Down,2025-02-10T22:00:00+00:00,24,2025-02-11T22:00:00+00:00,-0.2233333140611648,-17.922078142958203
Down,2025-02-10T22:00:00+00:00,25,2025-02-11T23:00:00+00:00,-2.5,-18.81133296591909
Down,2025-02-10T22:00:00+00:00,26,2025-02-12T00:00:00+00:00,-0.2774999737739563,-8.004874150721358
